"name","type","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"social_isolation","numeric",0.000729040097205346,21,1.20411802853437,1,1,NA,1.20411802853437,NA,0,4,4,0.901599488460987,16.6927841629963,0.00487049530406303,0.0450931954059835,NA,NA
"social_actions","numeric",0.000729040097205346,77,2.2857391355537,2.22222222222222,2.22222222222222,NA,2.2857391355537,NA,0,5,5,0.148263035874153,2.74503578237656,-0.386886584333161,-3.58196677301693,NA,NA
"sense_of_control","numeric",0.0040097205346294,42,-2.03171892155667,-2.5,-2.5,NA,-2.03171892155667,NA,-10,10,20,0.207239548987753,3.83066291568216,-0.850981867662821,-7.86582971148361,NA,NA
"avoidance_actions","numeric",0.000972053462940462,78,2.51640053539531,2.54545454545455,2.54545454545455,NA,2.51640053539531,NA,0,4,4,-0.227148456210297,-4.20505921219485,0.311964859840512,2.887957363682,NA,NA
"coping_actions","numeric",0.000607533414337789,93,1.09596953249385,1.07142857142857,1.07142857142857,NA,1.09596953249385,NA,0,2.53571428571429,2.53571428571429,0.135957796005558,2.51736175509036,0.237689558754069,2.20076856142544,NA,NA
"freqcomcov","numeric",0.00218712029161604,22,3.12372138334145,3,3,NA,3.12372138334145,NA,0,5,5,-0.117585247262721,-2.17545945388628,-0.462799037224344,-4.28167246062329,NA,NA
"government_actions","numeric",0.00388821385176185,50,1.63135114255509,1.5,1.5,NA,1.63135114255509,NA,0,4,4,0.24384681746007,4.50759481281933,-0.979402549398742,-9.05340475672092,NA,NA
"gov_capab","numeric",0.00340218712029162,12,1.74945135332846,1.5,1.5,NA,1.74945135332846,NA,0,5,5,0.240650894346365,4.44960178145099,-0.874885817913099,-8.08924416825629,NA,NA
"gov_benevol","numeric",0.00291616038882139,12,1.77668778942237,1.5,1.5,NA,1.77668778942237,NA,0,5,5,0.189450717538451,3.50377133302647,-1.21306462485891,-11.2187976641265,NA,NA
"gov_trust","numeric",0.00291616038882139,12,2.46795028028272,2.5,2.5,NA,2.46795028028272,NA,0,5,5,-0.364235839185766,-6.73631173521899,-1.09361580190773,-10.114097923943,NA,NA
"institutional_trust","numeric",0.00243013365735115,34,1.99853836784409,2,2,NA,1.99853836784409,NA,0,5,5,0.00893717906873359,0.165327745621308,-1.05153143162882,-9.72725708147575,NA,NA
"govstate_capab","numeric",0.83232077764277,12,1.96630434782609,2,2,NA,1.96630434782609,NA,0,5,5,-0.0198706645055348,-0.150840384860597,-1.03496246659752,-3.93108767467785,NA,NA
"govstate_benevol","numeric",0.83232077764277,12,2.21702898550725,2.5,2.5,NA,2.21702898550725,NA,0,5,5,-0.16299960664127,-1.23734781949776,-1.39592375100585,-5.30212334212421,NA,NA
"govstate_trust","numeric",0.832442284325638,12,2.58339376359681,3,3,NA,2.58339376359681,NA,0,5,5,-0.43824984958205,-3.32559951241759,-1.14832348596391,-4.36009080100283,NA,NA
"instittruststate","numeric",0.83232077764277,30,2.25507246376812,2.33333333333333,2.33333333333333,NA,2.25507246376812,NA,0,5,5,-0.241455827035687,-1.8329175587838,-1.19933121735761,-4.5554078708869,NA,NA
"trust_local","numeric",0.0228432563791009,53,-0.676883859736384,-0.5,-0.5,NA,-0.676883859736384,NA,-10,17.5,27.5,0.105840572348142,1.93780278770093,-0.758681208911346,-6.94609435008512,NA,NA
"trust_global","numeric",0.029404617253949,52,-1.25169003505258,-1,-1,NA,-1.25169003505258,NA,-10,16,26,0.115895509360708,2.11476223479677,0.364027092128606,3.32164306474841,NA,NA
"trust_scient","numeric",0.0131227217496962,60,6.6045309037183,7,7,NA,6.6045309037183,NA,-10,20,30,-1.09517313456741,-20.1506397605922,2.22745524022588,20.4945537441697,NA,NA
"feelinginformed","numeric",0.00133657351154313,23,2.91677819686093,3,3,NA,2.91677819686093,NA,-2,4,6,-0.597174522501884,-11.0531071439853,0.579824038213131,5.36663573817157,NA,NA
